what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.core,1256202428671
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1256202428828
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1256202429187
started,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1256202429281
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1256202430515
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1256202430640
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1256202430687
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1256202431187
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1256202431656
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1256202431656
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1256202431718
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1256202432156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256202436109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256202476093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256202477687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256202587187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256202590015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256202995578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256203009421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256203009437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256203009531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256203086765
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256203098281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256203105250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256203120625
