what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1256205581015
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1256205581015
stopped,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1256205581015
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.0.101.v20080730,org.eclipse.jst.server.preview.adapter,1256205581015
stopped,bundle,com.vmware.bfg.ivd,0.8.0,com.vmware.bfg.ivd,1256205581015
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1256205581015
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200805152355,org.eclipse.datatools.enablement.jdt.classpath,1256205581015
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1256205581015
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.0.0.v200805300000,org.eclipse.jpt.eclipselink.ui,1256205581015
stopped,bundle,org.eclipse.jpt.ui,2.0.101.v200809030200,org.eclipse.jpt.ui,1256205581015
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.102.v200806010600,org.eclipse.jst.common.annotations.ui,1256205581015
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.ui,1256205581015
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.202.v200809040612,org.eclipse.jst.ejb.ui,1256205581015
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.102.v200805140135,org.eclipse.jst.j2ee.ejb.annotations.emitter,1256205581015
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.305.v200805140230,org.eclipse.jst.ws.axis.creation.ui,1256205581015
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.304.v200807092124,org.eclipse.jst.ws.axis.consumption.ui,1256205581015
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,org.eclipse.jst.ws.axis2.creation.ui,1256205581015
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,org.eclipse.jst.ws.axis2.consumption.ui,1256205581015
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.103.v200807162242,org.eclipse.jst.ws.axis2.creation.core,1256205581015
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.103.v200807232000,org.eclipse.jst.ws.axis2.consumption.core,1256205581015
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.306.v200807302056,org.eclipse.jst.ws.creation.ui,1256205581015
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.2.v200808200318,org.eclipse.jst.ws.consumption.ui,1256205581015
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.webservice.ui,1256205581015
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.202.v200809102205,org.eclipse.jst.servlet.ui,1256205581015
stopped,bundle,org.eclipse.jst.jee.ui,1.0.102.v200809102205,org.eclipse.jst.jee.ui,1256205581015
