what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551740218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551740937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551740937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551741062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551741656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551801265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551801265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256551801343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256553023843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256553096109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256553096234
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256553096812
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1256553097937
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1256553097937
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1256553097937
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1256553097937
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1256553097937
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1256553097937
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1256553097937
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1256553097937
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1256553097937
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1256553097937
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1256553097937
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1256553097937
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1256553097937
