what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.dstore.core,3.0.1.v200809110140,org.eclipse.dstore.core,1256614543093
stopped,bundle,org.eclipse.dstore.extra,2.1.0.v20080406,org.eclipse.dstore.extra,1256614543093
stopped,bundle,org.eclipse.gef,3.4.1.v20080716,org.eclipse.gef,1256614543109
stopped,bundle,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views,1256614543109
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1256614543109
stopped,bundle,org.eclipse.datatools.enablement.ibm.ui,1.0.0.v200806271414,org.eclipse.datatools.enablement.ibm.ui,1256614543109
