what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.core,1256189095484
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1256189095562
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1256189095703
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1256189095734
started,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1256189096156
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1256189096562
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1256189096625
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1256189096640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256189097578
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1256189098343
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1256189098640
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1256189098640
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1256189098734
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1256189099109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256189841437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256190750515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256191423890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256191514796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192140390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192223406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192683265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192683781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192823953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192832750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192995015
