what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256525264734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256525536000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256525539937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256527678781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256527694671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256527694687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256527694781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528644109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528648312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528648312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528648421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528648890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528669281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528669281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256528669343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256529208281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256529208984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256529208984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256529209062
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256541280609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256541281203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256541869812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256541872031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256543443046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256543448046
