what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192996359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192997484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256192998625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256193037640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1256193144046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1256193170218
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1256193171812
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1256193171843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256193202578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256193271000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256193887218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256198251718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256198254625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256200076093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256200089843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256200097859
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256200271812
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1256200272640
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1256200272640
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1256200272640
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1256200272640
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1256200272640
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1256200272640
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1256200272640
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1256200272640
