what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.core,1256445535203
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.bugzilla.ui,1256445535343
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1256445535546
started,bundle,org.eclipse.mylyn.context.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.context.ui,1256445535562
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1256445536515
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1256445536625
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1256445536625
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1256445536859
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1256445537265
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1256445537265
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1256445537328
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1256445537750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256447696234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256447957640
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256447978015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256447978015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256447978125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256448257671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256448271500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256450419343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256450424140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256451083125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256451083671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256451083671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256451083781
