what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1256205581125
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1256205581125
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1256205581125
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1256205581125
stopped,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1256205581125
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200808140615,org.eclipse.datatools.sqltools.debugger.core,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.db.derby,1.0.0.v200805152355,org.eclipse.datatools.sqltools.db.derby,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor,1.0.0.v200807211830,org.eclipse.datatools.sqltools.routineeditor,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.db.generic,1.0.0.v200808140643,org.eclipse.datatools.sqltools.db.generic,1256205581125
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200805310538,org.eclipse.datatools.enablement.sybase.asa.ui,1256205581125
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200806260315,org.eclipse.datatools.enablement.sybase.ase.ui,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.tablewizard,1.0.0.v200808140615,org.eclipse.datatools.sqltools.tablewizard,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.v200808140615,org.eclipse.datatools.sqltools.ddlgen.ui,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlbuilder,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqlscrapbook,1256205581125
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200808271350,org.eclipse.datatools.sqltools.sqleditor,1256205581125
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.0.101.v20080730,org.eclipse.wst.server.preview.adapter,1256205581125
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.100.v200805140145,org.eclipse.wst.server.http.ui,1256205581125
stopped,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1256205581125
stopped,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1256205581265
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk,1256205581296
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.1.R34x_v20080909,org.eclipse.equinox.p2.ui,1256205581296
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1256205581296
stopped,bundle,org.eclipse.jpt.doc.user,1.0.201.v200809020200,org.eclipse.jpt.doc.user,1256205581296
