10, 0.0187000274658
11, 0.0216999530792
12, 0.0343999624252
13, 0.0467000246048
14, 0.0687999725342
15, 0.0922000408173
16, 0.110700035095
17, 0.167299985886
18, 0.209399986267
19, 0.340699958801
20, 0.371699953079
21, 0.589100003242
22, 0.46869995594
23, 0.681100010872
24, 0.903199982643
25, 1.04539999962
26, 1.26089999676
27, 2.14530003071
28, 1.45009999275
29, 3.59839997292
30, 1.71859993935
31, 2.78589999676
32, 3.80020003319
33, 7.46229996681
34, 4.80470001698
35, 7.18760004044
36, 9.14530003071
37, 7.21280002594
38, 10.3501000404
39, 8.89520001411
40, 11.7281000137
41, 15.8766000032
42, 21.1749000311
